"Date","Price","Open","High","Low","Vol.","Change %"
"10/18/2020","15.410","14.650","15.650","14.560","3.21K","6.28%"
"10/11/2020","14.500","13.610","14.650","13.490","1.05K","5.42%"
"10/04/2020","13.755","13.385","14.050","13.225","0.38K","5.60%"
"09/27/2020","13.025","12.060","13.405","11.950","1.43K","11.66%"
"09/20/2020","11.665","11.500","12.040","11.260","0.92K","1.66%"
"09/13/2020","11.475","10.725","11.515","10.650","0.46K","9.34%"
"09/06/2020","10.495","11.400","11.400","10.370","1.23K","-10.15%"
"08/30/2020","11.680","11.240","12.105","10.995","0.93K","4.57%"
"08/23/2020","11.170","8.125","11.175","8.050","1.85K","46.59%"
"08/16/2020","7.620","8.260","8.850","7.470","0.96K","-4.99%"
"08/09/2020","8.020","8.280","8.280","7.000","0.93K","1.13%"
"08/02/2020","7.930","6.330","8.300","6.330","1.20K","31.62%"
"07/26/2020","6.025","4.950","6.000","4.775","1.69K","20.26%"
"07/19/2020","5.010","4.950","5.125","4.710","1.41K","-2.05%"
"07/12/2020","5.115","5.520","5.550","4.990","2.83K","-6.58%"
"07/05/2020","5.475","6.145","6.315","5.425","0.53K","-7.91%"
"06/28/2020","5.945","5.400","6.455","5.400","2.14K","16.45%"
"06/21/2020","5.105","5.450","5.850","5.045","1.53K","-9.08%"
"06/14/2020","5.615","5.450","5.675","4.995","2.38K","6.45%"
"06/07/2020","5.275","5.600","5.775","4.625","1.93K","-7.62%"
"05/31/2020","5.710","4.100","5.850","3.950","2.92K","30.22%"
"05/24/2020","4.385","4.350","4.910","3.500","2.20K","12.72%"
"05/17/2020","3.890","5.280","5.385","3.650","0.61K","-25.48%"
"05/10/2020","5.220","5.700","5.800","5.100","1.19K","-10.46%"
"05/03/2020","5.830","5.900","5.970","5.635","1.87K","-0.26%"
"04/26/2020","5.845","5.825","6.330","5.735","1.33K","1.30%"
"04/19/2020","5.770","6.735","6.735","5.800","1.36K","-17.51%"
"04/12/2020","6.995","7.280","7.280","6.745","1.01K","-3.91%"
"04/05/2020","7.280","6.800","7.525","6.800","0.94K","5.20%"
"03/29/2020","6.920","6.895","7.275","6.725","2.13K","-4.16%"
"03/22/2020","7.220","8.020","8.100","7.170","2.00K","-12.96%"
"03/15/2020","8.295","8.700","8.775","8.165","2.74K","-10.66%"
"03/08/2020","9.285","8.275","9.635","8.275","2.15K","7.40%"
"03/01/2020","8.645","9.000","9.210","8.560","5.55K","-2.59%"
"02/23/2020","8.875","9.210","9.210","8.650","1.47K","-5.69%"
"02/16/2020","9.410","9.200","9.575","9.200","0.58K","5.97%"
"02/09/2020","8.880","8.775","8.925","8.500","0.54K","-2.09%"
"02/02/2020","9.070","9.600","9.600","8.925","0.85K","-7.02%"
"01/26/2020","9.755","10.505","10.800","9.930","0.44K","-6.70%"
"01/19/2020","10.455","10.665","10.945","10.230","1.16K","-4.35%"
"01/12/2020","10.930","12.150","12.150","10.940","0.91K","-8.46%"
"01/05/2020","11.940","12.695","12.700","11.825","3.48K","-8.05%"
"12/29/2019","12.985","12.295","12.750","12.050","0.69K","1.72%"
"12/22/2019","12.765","13.210","13.210","12.605","0.08K","-10.33%"
"12/15/2019","14.235","13.950","15.010","13.940","1.89K","3.11%"
"12/08/2019","13.805","14.775","14.950","13.800","1.52K","-8.82%"
"12/01/2019","15.140","15.955","16.000","15.100","1.84K","-7.29%"
"11/24/2019","16.330","16.475","16.475","15.855","0.37K","1.74%"
"11/17/2019","16.050","15.375","16.150","15.150","1.68K","2.13%"
"11/10/2019","15.715","15.875","15.925","15.275","2.37K","-1.41%"
"11/03/2019","15.940","16.300","16.905","15.875","3.80K","-1.45%"
"10/27/2019","16.175","14.575","16.350","13.625","1.38K","6.17%"
"10/20/2019","15.235","16.210","16.210","15.150","0.68K","-4.57%"
"10/13/2019","15.965","15.950","16.245","15.750","0.89K","-1.05%"
"10/06/2019","16.135","15.200","16.150","15.200","3.02K","2.31%"
"09/29/2019","15.770","16.680","16.725","15.750","0.88K","32.08%"
"09/22/2019","11.940","12.245","12.600","11.935","0.25K","-6.06%"
"09/15/2019","12.710","15.155","15.155","12.255","0.19K","-13.60%"
"09/08/2019","14.710","12.675","15.650","12.300","0.83K","19.11%"
"09/01/2019","12.350","11.950","12.175","11.675","1.64K","-3.48%"
"08/25/2019","12.795","10.315","12.795","10.150","0.33K","20.88%"
"08/18/2019","10.585","10.800","11.700","10.650","0.98K","-3.38%"
"08/11/2019","10.955","11.950","12.050","10.925","1.01K","-8.90%"
"08/04/2019","12.025","11.975","12.200","10.875","2.98K","0.08%"
"07/28/2019","12.015","10.075","12.655","9.725","1.13K","20.57%"
"07/21/2019","9.965","10.900","10.950","9.875","2.29K","-7.86%"
"07/14/2019","10.815","13.725","13.725","10.625","1.20K","-18.56%"
"07/07/2019","13.280","11.105","13.150","11.105","2.52K","18.41%"
"06/30/2019","11.215","10.570","11.245","10.175","0.62K","10.87%"
"06/23/2019","10.115","10.200","10.200","9.375","0.05K","-2.32%"
"06/16/2019","10.355","11.355","11.400","9.775","0.14K","-8.52%"
"06/09/2019","11.320","11.650","11.650","11.205","0.13K","-1.74%"
"06/02/2019","11.520","11.100","11.910","11.100","0.11K","2.81%"
"05/26/2019","11.205","12.520","12.520","11.205","0.01K","-8.53%"
"05/19/2019","12.250","12.905","12.905","12.415","0.04K","-4.71%"
"05/12/2019","12.855","13.760","13.855","12.935","0.00K","-8.15%"
"05/05/2019","13.995","14.335","14.455","13.995","0.05K","-3.91%"
"04/28/2019","14.565","14.525","14.565","14.050","0.03K","0.97%"
"04/21/2019","14.425","14.460","14.775","14.105","0.15K","-0.24%"
"04/14/2019","14.460","15.640","15.640","14.850","0.05K","-8.80%"
"04/07/2019","15.855","16.575","16.950","15.550","0.12K","-4.69%"
"03/31/2019","16.635","13.845","16.635","13.455","0.06K","17.02%"
"03/24/2019","14.215","14.185","14.875","14.175","0.96K","-1.66%"
"03/17/2019","14.455","14.900","15.250","14.355","1.25K","-5.21%"
"03/10/2019","15.250","16.700","16.700","15.275","1.11K","-8.85%"
"03/03/2019","16.730","17.375","17.500","16.720","1.06K","-3.41%"
"02/24/2019","17.320","17.000","17.815","17.000","0.10K","0.52%"
"02/17/2019","17.230","17.750","18.145","17.230","0.01K","-4.81%"
"02/10/2019","18.100","17.825","18.165","17.750","0.61K","-0.90%"
"02/03/2019","18.265","19.355","19.355","18.265","0.19K","-5.36%"
"01/27/2019","19.300","20.520","20.600","19.300","0.04K","-7.61%"
"01/20/2019","20.890","21.805","22.300","20.690","0.28K","-7.59%"
"01/13/2019","22.605","21.910","23.135","21.685","0.21K","1.57%"
"01/06/2019","22.255","21.910","22.515","21.470","0.15K","-2.94%"
"12/30/2018","22.930","22.260","22.955","22.115","0.08K","0.53%"
"12/23/2018","22.810","24.735","24.760","22.810","0.09K","-8.39%"
"12/16/2018","24.900","24.650","24.745","23.725","0.23K","1.03%"
"12/09/2018","24.645","23.265","24.790","23.265","0.16K","6.48%"
"12/02/2018","23.145","25.085","25.085","22.840","0.28K","-6.26%"
"11/25/2018","24.690","24.270","24.995","24.115","0.10K","-0.52%"
"11/18/2018","24.820","24.310","25.170","24.035","0.14K","-4.37%"
"11/11/2018","25.955","25.625","26.725","25.625","0.28K","6.70%"
"11/04/2018","24.325","23.810","24.760","23.625","0.06K","0.16%"
"10/28/2018","24.285","24.580","24.580","23.875","0.02K","0.02%"
"10/21/2018","24.280","26.115","26.115","24.280","","-9.61%"
"10/14/2018","26.860","27.050","27.050","25.625","0.02K","0.86%"
"10/07/2018","26.630","27.220","27.220","25.925","0.03K","-4.55%"
